order_code,bom_category,issue_pool,allocated_qty,uom
BS-ET-16271-B,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-500071,Paint Epoxy Primer,Epoxy Set,341.72,Gram
BS-US-500071,Epoxy Thinner,Epoxy Set,72.19,Gram
BS-US-500071,Epoxy Hardner,Epoxy Set,67.38,Gram
BS-US-500071,Paint Mixing,Paint Mixing,117.68,Gram
BS-US-500071,Paint Matt agent(Matt),Paint Matt Agent,36.61,Gram
BS-US-500071,Paint Harnder,Paint Harnder,60.15,Gram
BS-US-500071,Paint Thinner,Paint Thinner,23.54,Gram
BS-US-500071,Paint Binder(Gloss),Paint Binder,23.54,Gram
BS-ET-16194,Paint Epoxy Primer,Epoxy Set,126.49,Gram
BS-ET-16194,Epoxy Thinner,Epoxy Set,26.72,Gram
BS-ET-16194,Epoxy Hardner,Epoxy Set,24.94,Gram
BS-ET-16194,Paint Mixing,Paint Mixing,40.66,Gram
BS-ET-16194,Paint Matt agent(Matt),Paint Matt Agent,20.33,Gram
BS-ET-16194,Paint Harnder,Paint Harnder,20.33,Gram
BS-ET-16194,Paint Thinner,Paint Thinner,16.46,Gram
BS-ET-16194,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16256,Paint Epoxy Primer,Epoxy Set,98.41,Gram
BS-ET-16256,Epoxy Thinner,Epoxy Set,20.79,Gram
BS-ET-16256,Epoxy Hardner,Epoxy Set,19.41,Gram
BS-ET-16256,Paint Mixing,Paint Mixing,31.63,Gram
BS-ET-16256,Paint Matt agent(Matt),Paint Matt Agent,15.82,Gram
BS-ET-16256,Paint Harnder,Paint Harnder,15.82,Gram
BS-ET-16256,Paint Thinner,Paint Thinner,12.8,Gram
BS-ET-16256,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-500072,Paint Epoxy Primer,Epoxy Set,359.54,Gram
BS-US-500072,Epoxy Thinner,Epoxy Set,75.96,Gram
BS-US-500072,Epoxy Hardner,Epoxy Set,70.9,Gram
BS-US-500072,Paint Mixing,Paint Mixing,115.56,Gram
BS-US-500072,Paint Matt agent(Matt),Paint Matt Agent,57.78,Gram
BS-US-500072,Paint Harnder,Paint Harnder,57.78,Gram
BS-US-500072,Paint Thinner,Paint Thinner,46.77,Gram
BS-US-500072,Paint Binder(Gloss),Paint Binder,0,Gram
BS-SM-16106 A RE,Paint Epoxy Primer,Epoxy Set,0,Gram
BS-SM-16106 A RE,Epoxy Thinner,Epoxy Set,0,Gram
BS-SM-16106 A RE,Epoxy Hardner,Epoxy Set,0,Gram
BS-SM-16106 A RE,Paint Mixing,Paint Mixing,0,Gram
BS-SM-16106 A RE,Paint Matt agent(Matt),Paint Matt Agent,0,Gram
BS-SM-16106 A RE,Paint Harnder,Paint Harnder,0,Gram
BS-SM-16106 A RE,Paint Thinner,Paint Thinner,0,Gram
BS-SM-16106 A RE,Paint Binder(Gloss),Paint Binder,0,Gram
BS-SM-16275,Paint Epoxy Primer,Epoxy Set,271.28,Gram
BS-SM-16275,Epoxy Thinner,Epoxy Set,57.31,Gram
BS-SM-16275,Epoxy Hardner,Epoxy Set,53.49,Gram
BS-SM-16275,Paint Mixing,Paint Mixing,87.19,Gram
BS-SM-16275,Paint Matt agent(Matt),Paint Matt Agent,43.6,Gram
BS-SM-16275,Paint Harnder,Paint Harnder,43.6,Gram
BS-SM-16275,Paint Thinner,Paint Thinner,35.29,Gram
BS-SM-16275,Paint Binder(Gloss),Paint Binder,0,Gram
BS-SM-16277-A,Paint Epoxy Primer,Epoxy Set,955.48,Gram
BS-SM-16277-A,Epoxy Thinner,Epoxy Set,201.86,Gram
BS-SM-16277-A,Epoxy Hardner,Epoxy Set,188.41,Gram
BS-SM-16277-A,Paint Mixing,Paint Mixing,307.11,Gram
BS-SM-16277-A,Paint Matt agent(Matt),Paint Matt Agent,153.55,Gram
BS-SM-16277-A,Paint Harnder,Paint Harnder,153.55,Gram
BS-SM-16277-A,Paint Thinner,Paint Thinner,124.31,Gram
BS-SM-16277-A,Paint Binder(Gloss),Paint Binder,0,Gram
BS-SM-16277-B,Paint Epoxy Primer,Epoxy Set,353.91,Gram
BS-SM-16277-B,Epoxy Thinner,Epoxy Set,74.77,Gram
BS-SM-16277-B,Epoxy Hardner,Epoxy Set,69.79,Gram
BS-SM-16277-B,Paint Mixing,Paint Mixing,113.75,Gram
BS-SM-16277-B,Paint Matt agent(Matt),Paint Matt Agent,56.88,Gram
BS-SM-16277-B,Paint Harnder,Paint Harnder,56.88,Gram
BS-SM-16277-B,Paint Thinner,Paint Thinner,46.04,Gram
BS-SM-16277-B,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16272-A,Paint Epoxy Primer,Epoxy Set,761.24,Gram
BS-ET-16272-A,Epoxy Thinner,Epoxy Set,160.83,Gram
BS-ET-16272-A,Epoxy Hardner,Epoxy Set,150.1,Gram
BS-ET-16272-A,Paint Mixing,Paint Mixing,244.68,Gram
BS-ET-16272-A,Paint Matt agent(Matt),Paint Matt Agent,122.34,Gram
BS-ET-16272-A,Paint Harnder,Paint Harnder,122.34,Gram
BS-ET-16272-A,Paint Thinner,Paint Thinner,99.04,Gram
BS-ET-16272-A,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16286-A,Paint Epoxy Primer,Epoxy Set,257.61,Gram
BS-ET-16286-A,Epoxy Thinner,Epoxy Set,50.74,Gram
BS-ET-16286-A,Epoxy Hardner,Epoxy Set,78.06,Gram
BS-ET-16286-A,Paint Mixing,Paint Mixing,90.35,Gram
BS-ET-16286-A,Paint Matt agent(Matt),Paint Matt Agent,49.63,Gram
BS-ET-16286-A,Paint Harnder,Paint Harnder,44.54,Gram
BS-ET-16286-A,Paint Thinner,Paint Thinner,25.45,Gram
BS-ET-16286-A,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16288,Paint Epoxy Primer,Epoxy Set,126.49,Gram
BS-ET-16288,Epoxy Thinner,Epoxy Set,26.72,Gram
BS-ET-16288,Epoxy Hardner,Epoxy Set,24.94,Gram
BS-ET-16288,Paint Mixing,Paint Mixing,40.66,Gram
BS-ET-16288,Paint Matt agent(Matt),Paint Matt Agent,20.33,Gram
BS-ET-16288,Paint Harnder,Paint Harnder,20.33,Gram
BS-ET-16288,Paint Thinner,Paint Thinner,16.46,Gram
BS-ET-16288,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16289,Paint Epoxy Primer,Epoxy Set,155.96,Gram
BS-ET-16289,Epoxy Thinner,Epoxy Set,32.95,Gram
BS-ET-16289,Epoxy Hardner,Epoxy Set,30.75,Gram
BS-ET-16289,Paint Mixing,Paint Mixing,50.13,Gram
BS-ET-16289,Paint Matt agent(Matt),Paint Matt Agent,25.06,Gram
BS-ET-16289,Paint Harnder,Paint Harnder,25.06,Gram
BS-ET-16289,Paint Thinner,Paint Thinner,20.29,Gram
BS-ET-16289,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16291,Paint Epoxy Primer,Epoxy Set,126.49,Gram
BS-ET-16291,Epoxy Thinner,Epoxy Set,26.72,Gram
BS-ET-16291,Epoxy Hardner,Epoxy Set,24.94,Gram
BS-ET-16291,Paint Mixing,Paint Mixing,40.66,Gram
BS-ET-16291,Paint Matt agent(Matt),Paint Matt Agent,20.33,Gram
BS-ET-16291,Paint Harnder,Paint Harnder,20.33,Gram
BS-ET-16291,Paint Thinner,Paint Thinner,16.46,Gram
BS-ET-16291,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16272-B,Paint Epoxy Primer,Epoxy Set,761.24,Gram
BS-ET-16272-B,Epoxy Thinner,Epoxy Set,160.83,Gram
BS-ET-16272-B,Epoxy Hardner,Epoxy Set,150.1,Gram
BS-ET-16272-B,Paint Mixing,Paint Mixing,244.68,Gram
BS-ET-16272-B,Paint Matt agent(Matt),Paint Matt Agent,122.34,Gram
BS-ET-16272-B,Paint Harnder,Paint Harnder,122.34,Gram
BS-ET-16272-B,Paint Thinner,Paint Thinner,99.04,Gram
BS-ET-16272-B,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16286-B,Paint Epoxy Primer,Epoxy Set,257.61,Gram
BS-ET-16286-B,Epoxy Thinner,Epoxy Set,50.74,Gram
BS-ET-16286-B,Epoxy Hardner,Epoxy Set,78.06,Gram
BS-ET-16286-B,Paint Mixing,Paint Mixing,90.35,Gram
BS-ET-16286-B,Paint Matt agent(Matt),Paint Matt Agent,49.63,Gram
BS-ET-16286-B,Paint Harnder,Paint Harnder,44.54,Gram
BS-ET-16286-B,Paint Thinner,Paint Thinner,25.45,Gram
BS-ET-16286-B,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16304,Paint Epoxy Primer,Epoxy Set,179.19,Gram
BS-ET-16304,Epoxy Thinner,Epoxy Set,37.86,Gram
BS-ET-16304,Epoxy Hardner,Epoxy Set,35.33,Gram
BS-ET-16304,Paint Mixing,Paint Mixing,57.59,Gram
BS-ET-16304,Paint Matt agent(Matt),Paint Matt Agent,28.8,Gram
BS-ET-16304,Paint Harnder,Paint Harnder,28.8,Gram
BS-ET-16304,Paint Thinner,Paint Thinner,23.31,Gram
BS-ET-16304,Paint Binder(Gloss),Paint Binder,0,Gram
BS-QS-16263,Paint Epoxy Primer,Epoxy Set,366.54,Gram
BS-QS-16263,Epoxy Thinner,Epoxy Set,77.44,Gram
BS-QS-16263,Epoxy Hardner,Epoxy Set,72.27,Gram
BS-QS-16263,Paint Mixing,Paint Mixing,117.81,Gram
BS-QS-16263,Paint Matt agent(Matt),Paint Matt Agent,58.91,Gram
BS-QS-16263,Paint Harnder,Paint Harnder,58.91,Gram
BS-QS-16263,Paint Thinner,Paint Thinner,47.69,Gram
BS-QS-16263,Paint Binder(Gloss),Paint Binder,0,Gram
BS-US-500070 A,Paint Epoxy Primer,Epoxy Set,562.5,Gram
BS-US-500070 A,Epoxy Thinner,Epoxy Set,118.84,Gram
BS-US-500070 A,Epoxy Hardner,Epoxy Set,110.92,Gram
BS-US-500070 A,Paint Mixing,Paint Mixing,193.71,Gram
BS-US-500070 A,Paint Matt agent(Matt),Paint Matt Agent,60.27,Gram
BS-US-500070 A,Paint Harnder,Paint Harnder,99.01,Gram
BS-US-500070 A,Paint Thinner,Paint Thinner,38.74,Gram
BS-US-500070 A,Paint Binder(Gloss),Paint Binder,38.74,Gram
BS-QS-16314,Paint Epoxy Primer,Epoxy Set,144.31,Gram
BS-QS-16314,Epoxy Thinner,Epoxy Set,28.42,Gram
BS-QS-16314,Epoxy Hardner,Epoxy Set,43.73,Gram
BS-QS-16314,Paint Mixing,Paint Mixing,50.61,Gram
BS-QS-16314,Paint Matt agent(Matt),Paint Matt Agent,27.8,Gram
BS-QS-16314,Paint Harnder,Paint Harnder,24.95,Gram
BS-QS-16314,Paint Thinner,Paint Thinner,14.26,Gram
BS-QS-16314,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16257,Paint Epoxy Primer,Epoxy Set,0,Gram
BS-ET-16257,Epoxy Thinner,Epoxy Set,0,Gram
BS-ET-16257,Epoxy Hardner,Epoxy Set,0,Gram
BS-ET-16257,Paint Mixing,Paint Mixing,0,Gram
BS-ET-16257,Paint Matt agent(Matt),Paint Matt Agent,0,Gram
BS-ET-16257,Paint Harnder,Paint Harnder,0,Gram
BS-ET-16257,Paint Thinner,Paint Thinner,0,Gram
BS-ET-16257,Paint Binder(Gloss),Paint Binder,0,Gram
BS-ET-16297,Paint Epoxy Primer,Epoxy Set,155.72,Gram
