code,total_area,surface_area,bom_total_cost,bom_source
BS-ET-16211,4.28,4.28,3389.00,"Paint Epoxy Primer 378.39 Gram, Epoxy Thinner 79.94 Gram, Epoxy Hardner 74.61 Gram, Paint Mixing 121.62 Gram, Paint Matt agent(Matt) 60.81 Gram, Paint Harnder 60.81 Gram, Paint Thinner 49.23 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 3,389.00"
BS-ET-16169,4.25,0.89,1134.00,"Paint Epoxy Primer 126.49 Gram, Epoxy Thinner 26.72 Gram, Epoxy Hardner 24.94 Gram, Paint Mixing 40.66 Gram, Paint Matt agent(Matt) 20.33 Gram, Paint Harnder 20.33 Gram, Paint Thinner 16.46 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,134.00"
BS-US-2489 A,3.21,0.95,1295.00,"Paint Epoxy Primer 136.46 Gram, Epoxy Thinner 28.83 Gram, Epoxy Hardner 26.91 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 46.99 Gram, Paint Matt agent(Matt) 14.62 Gram, Paint Binder(Gloss) 9.4 Gram, Paint Harnder 24.02 Gram, Paint Thinner 9.4 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,295.00"
BS-US-2489 B,7.72,0.95,2230.00,"Paint Epoxy Primer 234.97 Gram, Epoxy Thinner 49.64 Gram, Epoxy Hardner 46.33 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 80.92 Gram, Paint Matt agent(Matt) 25.17 Gram, Paint Binder(Gloss) 16.18 Gram, Paint Harnder 41.36 Gram, Paint Thinner 16.18 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,230.00"
BS-SI-16217-D,11.67,4.94,2550.00,"Paint Epoxy Primer 284.6 Gram, Epoxy Thinner 60.13 Gram, Epoxy Hardner 56.12 Gram, Paint Mixing 91.48 Gram, Paint Matt agent(Matt) 45.74 Gram, Paint Harnder 45.74 Gram, Paint Thinner 37.03 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,550.00"
BS-SI-16217-B (Bulk),1.5,1.49,11518.59,"Paint Epoxy Primer 1285.61 Gram, Epoxy Thinner 271.61 Gram, Epoxy Hardner 253.5 Gram, Paint Mixing 413.21 Gram, Paint Matt agent(Matt) 206.61 Gram, Paint Harnder 206.61 Gram, Paint Thinner 167.25 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 11,518.59"
BS-SI-16217-A,6,2.19,4739.00,"Paint Epoxy Primer 528.96 Gram, Epoxy Thinner 111.75 Gram, Epoxy Hardner 104.3 Gram, Paint Mixing 170.02 Gram, Paint Matt agent(Matt) 85.01 Gram, Paint Harnder 85.01 Gram, Paint Thinner 68.82 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 4,739.00"
BS-S.C-16224,20.83,8.99,7049.00,"Paint Epoxy Primer 786.64 Gram, Epoxy Thinner 166.19 Gram, Epoxy Hardner 155.11 Gram, Paint Mixing 252.84 Gram, Paint Matt agent(Matt) 126.42 Gram, Paint Harnder 126.42 Gram, Paint Thinner 102.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 7,049.00"
BS-US-2488,6.3,2.87,1907.00,"Paint Epoxy Primer 200.95 Gram, Epoxy Thinner 42.45 Gram, Epoxy Hardner 39.62 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 69.2 Gram, Paint Matt agent(Matt) 21.53 Gram, Paint Binder(Gloss) 13.84 Gram, Paint Harnder 35.37 Gram, Paint Thinner 13.84 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 1,907.00"
BS-ET-16219,1.13,0.4,857.00,"Paint Epoxy Primer 95.73 Gram, Epoxy Thinner 20.22 Gram, Epoxy Hardner 18.88 Gram, Paint Mixing 30.77 Gram, Paint Matt agent(Matt) 15.38 Gram, Paint Harnder 15.38 Gram, Paint Thinner 12.45 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 857.00"
