code,hex,lab_l,lab_a,lab_b
"PANTONE 437 C",#7B656B,45,10,0
"PANTONE 438 C",#584446,31,9,2
"PANTONE 439 C",#453536,24,7,2
"PANTONE 440 C",#392E2E,20,5,2
"PANTONE 441 C",#BCC6C3,79,-4,0
"PANTONE 442 C",#A2ADAD,70,-4,-1
"PANTONE 443 C",#929D9E,64,-4,-2
"PANTONE 444 C",#6D7C7E,51,-5,-3
"PANTONE 445 C",#4D5659,36,-3,-3
"PANTONE 446 C",#3D4342,28,-3,0
"PANTONE 447 C",#373A38,24,-2,1
"PANTONE 448 C",#4C412B,28,1,15
"PANTONE 4485 C",#624D26,34,4,26
"PANTONE 449 C",#534529,30,2,19
"PANTONE 4495 C",#8F7733,51,1,40
"PANTONE 450 C",#5D4B26,33,2,25
"PANTONE 4505 C",#9C8445,56,1,37
"PANTONE 451 C",#9F9361,61,-3,28
"PANTONE 4515 C",#B8A46C,68,-1,32
"PANTONE 452 C",#B3A97F,69,-3,23
"PANTONE 4525 C",#CBB785,75,0,28
"PANTONE 453 C",#BFBA98,75,-4,18
"PANTONE 4535 C",#D2C395,79,-2,25
"PANTONE 454 C",#CCC7AA,80,-3,15
"PANTONE 4545 C",#D9CCA1,82,-2,23
"PANTONE 455 C",#6B5A26,39,0,32
"PANTONE 456 C",#A58C2C,59,-1,52
"PANTONE 457 C",#BF9D22,66,1,63
"PANTONE 458 C",#E0C55A,80,-3,56
"PANTONE 459 C",#E4CB66,82,-4,53
"PANTONE 460 C",#EAD781,86,-5,45
"PANTONE 461 C",#ECDD98,88,-5,36
"PANTONE 462 C",#60462E,32,8,19
"PANTONE 4625 C",#512B1C,22,16,17
"PANTONE 463 C",#754F28,37,12,29
"PANTONE 4635 C",#986038,46,19,32
"PANTONE 464 C",#8E5A2B,43,17,35
"PANTONE 4645 C",#AE7B5C,56,16,25
"PANTONE 465 C",#BE985D,65,7,36
"PANTONE 4655 C",#C19477,65,13,22
"PANTONE 466 C",#C9A977,71,5,30
"PANTONE 4665 C",#CFA688,71,11,21
"PANTONE 467 C",#D6BB8C,77,3,27
"PANTONE 4675 C",#DDBEA8,79,8,15
"PANTONE 468 C",#DECAA3,82,1,22
"PANTONE 4685 C",#E3C7AE,82,6,16
"PANTONE 469 C",#6A3E22,31,16,25
"PANTONE 4695 C",#5B3329,26,17,14
"PANTONE 470 C",#A85B2C,47,28,40
"PANTONE 4705 C",#7F4D3C,38,19,19
"PANTONE 471 C",#B96228,51,31,47
"PANTONE 4715 C",#986A57,49,16,18
"PANTONE 472 C",#E89D6D,71,23,36
"PANTONE 4725 C",#B18B79,61,12,15
"PANTONE 473 C",#F3BF9B,81,14,25
"PANTONE 4735 C",#C1A293,69,9,12
"PANTONE 474 C",#F3C6A8,83,12,21
"PANTONE 4745 C",#CBB4A7,75,6,10
"PANTONE 475 C",#F6D0B4,86,9,19
"PANTONE 4755 C",#D7C3B6,80,5,9
"PANTONE 476 C",#4F352A,25,10,12
"PANTONE 477 C",#613B2B,29,15,17
"PANTONE 478 C",#72412A,33,19,23
"PANTONE 479 C",#AC7F65,57,14,21
"PANTONE 480 C",#C5A993,71,7,15
"PANTONE 481 C",#D5BCAB,78,6,12
"PANTONE 482 C",#DEC8B8,82,5,11
"PANTONE 483 C",#663025,27,23,18
"PANTONE 484 C",#9C3324,37,43,33
"PANTONE 485 C",#DC2819,48,66,53
"PANTONE 486 C",#EA927B,69,31,26
"PANTONE 487 C",#EEA897,75,24,19
"PANTONE 488 C",#EEBBAB,80,16,15
"PANTONE 489 C",#ECC3B2,82,12,14
"PANTONE 490 C",#5C2A2B,24,23,10
"PANTONE 491 C",#803235,32,34,15
"PANTONE 492 C",#903236,35,40,19
"PANTONE 493 C",#DF879B,66,36,4
"PANTONE 494 C",#E9A3B1,74,28,3
"PANTONE 495 C",#F2BFCB,82,20,1
"PANTONE 496 C",#F1C7CE,84,16,2
"PANTONE 497 C",#52302E,24,15,8
"PANTONE 4975 C",#402123,17,15,5
"PANTONE 498 C",#6A3935,30,21,12
"PANTONE 4985 C",#894D52,40,26,8
"PANTONE 499 C",#7B3E39,34,26,15
"PANTONE 4995 C",#9B626A,48,24,5
"PANTONE 500 C",#C78792,63,26,4
"PANTONE 5005 C",#B07E83,58,20,5
"PANTONE 501 C",#DBA5AE,73,21,3
"PANTONE 5015 C",#CDA4A9,71,16,3
"PANTONE 502 C",#E7BBC3,80,17,2
"PANTONE 5025 C",#DDB8BC,78,14,3
"PANTONE 503 C",#EAC6C8,83,13,4
"PANTONE 5035 C",#DEC3C4,81,10,3
"PANTONE 504 C",#592B34,24,22,4
"PANTONE 505 C",#702F41,29,31,3
"PANTONE 506 C",#833650,34,36,1
"PANTONE 507 C",#D493AC,68,28,-3
"PANTONE 508 C",#E3A9BB,75,24,-1
"PANTONE 509 C",#E6B3C3,78,21,-1
"PANTONE 510 C",#EABECC,81,18,-1
"PANTONE 511 C",#612E51,27,28,-11
"PANTONE 5115 C",#4E2C45,23,20,-9
"PANTONE 512 C",#803579,35,42,-24
"PANTONE 5125 C",#663E5E,32,23,-12
"PANTONE 513 C",#90378F,39,49,-31
"PANTONE 5135 C",#7B5573,41,21,-11
"PANTONE 514 C",#D18DC8,67,35,-20
"PANTONE 5145 C",#987793,54,18,-10
"PANTONE 515 C",#E1AFD8,77,25,-14
"PANTONE 5155 C",#BCA4B6,70,12,-6
"PANTONE 516 C",#E4BEDE,81,19,-11
"PANTONE 5165 C",#D2C2D0,80,8,-5
"PANTONE 517 C",#E9C8E1,84,16,-8
"PANTONE 5175 C",#D7C8D2,82,7,-3
"PANTONE 518 C",#49314A,24,16,-11
"PANTONE 5185 C",#483242,24,13,-6
"PANTONE 519 C",#55335F,27,24,-20
"PANTONE 5195 C",#64445B,33,18,-8
"PANTONE 520 C",#5F326D,29,31,-26
"PANTONE 5205 C",#83637B,46,17,-8
"PANTONE 521 C",#A07FB2,58,22,-22
"PANTONE 5215 C",#AA95A6,64,11,-6
"PANTONE 522 C",#B69DC6,68,17,-18
"PANTONE 5225 C",#C4B1BD,74,9,-4
"PANTONE 523 C",#C4B2D1,75,12,-13
"PANTONE 5235 C",#CFBFC7,79,7,-2
"PANTONE 524 C",#D5C4DA,81,10,-9
"PANTONE 5245 C",#D9CBD3,83,6,-2
"PANTONE 525 C",#532F61,26,26,-23
"PANTONE 5255 C",#191B35,11,7,-17
"PANTONE 526 C",#683289,32,40,-39
"PANTONE 5265 C",#3A3A5F,26,10,-22
"PANTONE 527 C",#7837A7,37,48,-49
"PANTONE 5275 C",#525477,37,8,-20
"PANTONE 528 C",#AD81D1,61,32,-35
"PANTONE 5285 C",#8989A5,58,6,-15
"PANTONE 529 C",#C3A5DE,72,22,-25
"PANTONE 5295 C",#B0B2C5,73,3,-10
"PANTONE 530 C",#D2BBE5,79,16,-18
"PANTONE 5305 C",#C4C6D3,80,2,-7
"PANTONE 531 C",#DDC7E5,83,13,-12
"PANTONE 5315 C",#D5D7DF,86,1,-4
"PANTONE 532 C",#19202A,12,0,-8
"PANTONE 533 C",#1A2A44,17,2,-18
"PANTONE 534 C",#02375D,22,0,-27
"PANTONE 535 C",#88A0BC,65,-2,-17
"PANTONE 536 C",#9EB3CA,72,-2,-14
"PANTONE 537 C",#B7C9D7,80,-3,-9
"PANTONE 538 C",#C2D1DC,83,-3,-7
"PANTONE 539 C",#00283D,14,-7,-18
"PANTONE 5395 C",#021E2B,10,-5,-12
"PANTONE 540 C",#003257,19,-3,-28
"PANTONE 5405 C",#48758C,47,-9,-17
"PANTONE 541 C",#003D6F,24,-1,-36
"PANTONE 5415 C",#537F96,51,-9,-17
"PANTONE 542 C",#6FB0D5,69,-11,-25
"PANTONE 5425 C",#7498AB,61,-8,-14
"PANTONE 543 C",#9CCAE4,79,-9,-18
"PANTONE 5435 C",#A4BCCB,75,-5,-10
"PANTONE 544 C",#B8D6E8,84,-6,-12
"PANTONE 5445 C",#B2CAD5,80,-6,-8
"PANTONE 545 C",#C1DBE8,86,-6,-9
"PANTONE 5455 C",#BDCFD9,82,-4,-7
"PANTONE 546 C",#002A32,15,-11,-9
"PANTONE 5463 C",#02282D,14,-11,-7
"PANTONE 5467 C",#16332F,19,-12,-1
"PANTONE 547 C",#00323D,18,-13,-12
"PANTONE 5473 C",#005F66,36,-22,-11
"PANTONE 5477 C",#3D5D58,37,-13,-1
"PANTONE 548 C",#003E4E,23,-14,-16
"PANTONE 5483 C",#45858E,52,-18,-11
"PANTONE 5487 C",#5D7A77,49,-11,-2
"PANTONE 549 C",#61A5B9,64,-16,-17
"PANTONE 5493 C",#7BA8AC,66,-14,-7
"PANTONE 5497 C",#7F9896,61,-9,-2
"PANTONE 550 C",#87B8C9,72,-12,-14
"PANTONE 5503 C",#92B7BD,72,-11,-7
"PANTONE 5507 C",#9AB0AD,70,-8,-1
"PANTONE 551 C",#9FC8D3,78,-11,-10
"PANTONE 5513 C",#A7C7CA,78,-10,-5
"PANTONE 5517 C",#B2C1BE,77,-6,0
"PANTONE 552 C",#B6D4DD,83,-8,-8
"PANTONE 5523 C",#B6D1D1,82,-9,-3
"PANTONE 5527 C",#BACAC6,80,-6,0
"PANTONE 553 C",#294633,27,-16,8
"PANTONE 5535 C",#183129,18,-12,2
"PANTONE 554 C",#1E5D43,35,-27,9
"PANTONE 5545 C",#40685D,41,-17,2
"PANTONE 555 C",#287252,43,-31,11
"PANTONE 5555 C",#5C7E71,50,-15,3
"PANTONE 556 C",#6DA187,62,-23,8
"PANTONE 5565 C",#7B9D92,62,-14,2
"PANTONE 557 C",#85AF9C,68,-18,5
"PANTONE 5575 C",#91ACA2,68,-11,2
"PANTONE 558 C",#99BEAC,74,-16,5
"PANTONE 5585 C",#A7BEB3,75,-10,3
"PANTONE 559 C",#ABC8B7,78,-13,5
"PANTONE 5595 C",#BFCDC1,81,-7,4
"PANTONE 560 C",#1D3D35,23,-14,1
"PANTONE 5605 C",#22372C,21,-11,4
"PANTONE 561 C",#00594E,33,-27,-1
"PANTONE 5615 C",#5F7563,47,-12,7
"PANTONE 562 C",#007064,42,-31,-1
"PANTONE 5625 C",#6F8472,53,-11,7
"PANTONE 563 C",#6ABCB1,71,-28,-2
"PANTONE 5635 C",#93A597,66,-9,5
"PANTONE 564 C",#81C9BC,76,-25,-1
"PANTONE 5645 C",#A2B2A4,71,-8,5
"PANTONE 565 C",#9FD4CA,81,-19,-1
"PANTONE 5655 C",#B2BFB2,76,-7,5
"PANTONE 566 C",#B6DCD4,85,-14,0
"PANTONE 5665 C",#B9C4B7,78,-6,5
"PANTONE 567 C",#154036,24,-18,2
"PANTONE 568 C",#006B5D,40,-31,0
"PANTONE 569 C",#00816F,48,-36,1
"PANTONE 570 C",#66C9B9,75,-33,-1
"PANTONE 571 C",#97DCD0,83,-24,-1
"PANTONE 572 C",#A2E0D5,85,-22,-1
"PANTONE 573 C",#B3E4D9,87,-18,0
"PANTONE 574 C",#515C31,37,-12,23
"PANTONE 5743 C",#404828,29,-9,18
"PANTONE 5747 C",#41451F,28,-8,22
"PANTONE 575 C",#6B813B,51,-20,35
"PANTONE 5753 C",#5F673B,42,-11,24
"PANTONE 5757 C",#747230,47,-9,36
"PANTONE 576 C",#7F9D4D,61,-24,38
"PANTONE 5763 C",#777A4E,50,-9,24
"PANTONE 5767 C",#8F8F4D,58,-10,35
"PANTONE 577 C",#ACC483,76,-19,30
"PANTONE 5773 C",#8A8F66,58,-9,21
"PANTONE 5777 C",#A4A46A,66,-9,30
"PANTONE 578 C",#BBCD99,80,-15,24
"PANTONE 5783 C",#A4A985,68,-8,18
"PANTONE 5787 C",#BBBC8C,75,-8,24
"PANTONE 579 C",#BFD09E,81,-14,23
"PANTONE 5793 C",#B6B997,74,-7,17
"PANTONE 5797 C",#C9C99F,80,-7,21
"PANTONE 5803 C",#C4C6A8,79,-6,15
"PANTONE 5807 C",#D1D1AD,83,-6,18
"PANTONE 581 C",#665C22,39,-4,34
"PANTONE 5815 C",#575124,34,-4,27
"PANTONE 582 C",#948B1A,57,-9,56
"PANTONE 5825 C",#8A7F3D,53,-5,37
"PANTONE 583 C",#C0BE1D,75,-16,72
"PANTONE 5835 C",#A69959,63,-4,35
"PANTONE 584 C",#DBD65B,84,-14,60
"PANTONE 5845 C",#B3A970,69,-5,31
"PANTONE 585 C",#E4DE75,87,-12,52
"PANTONE 5855 C",#C2BA87,75,-5,27
"PANTONE 586 C",#E6E17B,88,-12,50
"PANTONE 5865 C",#CFC898,80,-5,25
"PANTONE 587 C",#E9E38E,89,-10,42
"PANTONE 5875 C",#D4CD9F,82,-5,24
"PANTONE 600 C",#F5EA9F,92,-7,38
"PANTONE 6001 C",#ECD388,85,-1,40
"PANTONE 6002 C",#F0CA77,83,3,46
"PANTONE 6003 C",#E6B851,77,6,57
"PANTONE 6004 C",#E5AD39,74,10,64
"PANTONE 6005 C",#E3A624,72,12,69
"PANTONE 6006 C",#D49821,67,13,65
"PANTONE 6007 C",#BE7A2C,57,20,51
"PANTONE 6008 C",#BF9D7C,67,8,22
"PANTONE 6009 C",#B28C66,61,9,26
"PANTONE 601 C",#F3E792,91,-8,43
"PANTONE 6010 C",#A67F56,56,10,28
"PANTONE 6011 C",#A07649,53,11,31
"PANTONE 6012 C",#895F33,44,12,32
"PANTONE 6013 C",#7B5029,38,14,30
"PANTONE 6014 C",#69502E,36,6,24
"PANTONE 6015 C",#F3B38A,78,18,30
"PANTONE 6016 C",#FB9C64,73,30,44
"PANTONE 6017 C",#FF914B,71,36,54
"PANTONE 6018 C",#FA8234,67,41,60
"PANTONE 6019 C",#F16B0E,61,48,67
"PANTONE 602 C",#F6E87D,91,-9,53
"PANTONE 6020 C",#E65904,56,52,65
"PANTONE 6021 C",#DD5B1A,55,48,58
"PANTONE 6022 C",#F4C0B6,82,17,12
"PANTONE 6023 C",#EEB3A2,78,19,17
"PANTONE 6024 C",#E79785,70,28,22
"PANTONE 6025 C",#DE836D,64,33,27
"PANTONE 6026 C",#D8755C,60,36,31
"PANTONE 6027 C",#C6623F,53,37,38
"PANTONE 6028 C",#BA5B3F,50,36,34
"PANTONE 6029 C",#D2B1B2,75,12,4
"PANTONE 603 C",#F4DE51,88,-8,69
"PANTONE 6030 C",#C79F9B,69,14,8
"PANTONE 6031 C",#B98F87,63,15,10
"PANTONE 6032 C",#B2837A,59,17,12
"PANTONE 6033 C",#AA786B,55,18,15
"PANTONE 6034 C",#A36C5C,51,20,18
"PANTONE 6035 C",#975F4E,46,21,19
"PANTONE 6036 C",#BD8F9A,64,19,1
"PANTONE 6037 C",#AD7880,56,22,4
"PANTONE 6038 C",#A2676F,50,25,5
"PANTONE 6039 C",#95565E,44,27,7
"PANTONE 604 C",#F2D82D,86,-7,79
"PANTONE 6040 C",#884649,38,28,11
"PANTONE 6041 C",#7D3D3E,34,28,12
"PANTONE 6042 C",#622E2F,26,24,10
"PANTONE 6043 C",#F491A1,71,39,8
"PANTONE 6044 C",#F18692,68,42,12
"PANTONE 6045 C",#ED7B87,65,45,14
"PANTONE 6046 C",#E86D72,61,48,20
"PANTONE 6047 C",#D44F48,52,52,32
"PANTONE 6048 C",#D34F4F,52,52,28
"PANTONE 6049 C",#C14632,47,48,38
"PANTONE 605 C",#EBCB12,82,-4,81
"PANTONE 6050 C",#F9A9D1,78,35,-8
"PANTONE 6051 C",#FC86AF,70,49,-1
"PANTONE 6052 C",#E97297,63,50,2
"PANTONE 6053 C",#F8618A,62,61,8
"PANTONE 6054 C",#DD5782,56,56,4
"PANTONE 6055 C",#D44568,51,58,12
"PANTONE 6056 C",#CC3C5A,48,58,16
"PANTONE 6057 C",#D261A4,57,52,-15
"PANTONE 6058 C",#C85094,52,55,-13
"PANTONE 6059 C",#C24689,49,56,-11
"PANTONE 606 C",#D5B412,74,-2,74
"PANTONE 6060 C",#BD4080,47,56,-9
"PANTONE 6061 C",#B53777,44,56,-8
"PANTONE 6062 C",#B33370,43,56,-5
"PANTONE 6063 C",#A32F5F,39,51,-1
"PANTONE 6064 C",#CDB0C9,75,15,-9
"PANTONE 6065 C",#C89CB4,69,20,-6
"PANTONE 6066 C",#C090A9,65,22,-6
"PANTONE 6067 C",#B3829D,60,23,-7
"PANTONE 6068 C",#AA7791,56,24,-6
"PANTONE 6069 C",#9A657E,49,25,-5
"PANTONE 607 C",#F0E49D,90,-6,36
"PANTONE 6070 C",#9A657E,49,25,-5
"PANTONE 6071 C",#91799B,54,16,-15
"PANTONE 6072 C",#725477,40,19,-15
"PANTONE 6073 C",#634668,34,19,-15
"PANTONE 6074 C",#5F4160,32,19,-13
"PANTONE 6075 C",#553855,28,18,-12
"PANTONE 6076 C",#472C44,22,17,-10
"PANTONE 6077 C",#392936,19,10,-5
"PANTONE 6078 C",#B996D0,67,24,-25
"PANTONE 6079 C",#AE7FC2,60,30,-28
"PANTONE 608 C",#EEDE88,88,-6,44
"PANTONE 6080 C",#9C6CB2,53,32,-30
"PANTONE 6081 C",#9762AE,50,35,-32
"PANTONE 6082 C",#8A529C,44,36,-31
"PANTONE 6083 C",#7C428E,38,38,-32
"PANTONE 6084 C",#703A80,34,36,-30
"PANTONE 6085 C",#C3CFEC,83,2,-16
"PANTONE 6086 C",#A5B6DA,74,2,-20
"PANTONE 6087 C",#98A8D0,69,3,-22
"PANTONE 6088 C",#8498C6,63,4,-26
"PANTONE 6089 C",#708BC3,58,5,-32
"PANTONE 609 C",#EFDE7C,88,-7,50
"PANTONE 6090 C",#6076AD,50,7,-32
"PANTONE 6091 C",#45629D,42,7,-35
"PANTONE 6092 C",#8391C8,61,8,-30
"PANTONE 6093 C",#788AC3,58,8,-32
"PANTONE 6094 C",#6C7CB9,53,10,-34
"PANTONE 6095 C",#6174B6,50,11,-37
"PANTONE 6096 C",#5062A6,43,13,-39
"PANTONE 6097 C",#3B539B,37,14,-42
"PANTONE 6098 C",#2F478E,32,15,-42
"PANTONE 6099 C",#81A8DF,68,1,-32
"PANTONE 610 C",#ECD55A,85,-6,62
"PANTONE 6100 C",#6C92CA,60,2,-33
"PANTONE 6101 C",#5582C4,54,4,-39
"PANTONE 6102 C",#4B78B7,50,4,-38
"PANTONE 6103 C",#255497,36,8,-41
"PANTONE 6104 C",#003E8A,27,13,-48
"PANTONE 6105 C",#003B83,26,13,-45
"PANTONE 6106 C",#AFC0D6,77,-1,-13
"PANTONE 6107 C",#A1B5D0,73,-1,-16
"PANTONE 6108 C",#87A3C0,66,-3,-18
"PANTONE 6109 C",#6E8FB0,58,-3,-21
"PANTONE 611 C",#DEC72E,80,-7,73
"PANTONE 6110 C",#6989AA,56,-3,-21
"PANTONE 6111 C",#587A9C,50,-3,-22
"PANTONE 6112 C",#2E5E80,38,-5,-24
"PANTONE 6113 C",#65899A,55,-8,-13
"PANTONE 6114 C",#608192,52,-7,-13
"PANTONE 6115 C",#537483,47,-8,-12
"PANTONE 6116 C",#456878,42,-8,-13
"PANTONE 6117 C",#3F616F,39,-8,-12
"PANTONE 6118 C",#2E464D,28,-7,-7
"PANTONE 6119 C",#2B3E44,25,-6,-6
"PANTONE 612 C",#CBB012,72,-4,72
"PANTONE 6120 C",#00A5D6,63,-19,-35
"PANTONE 6121 C",#009ED1,60,-21,-37
"PANTONE 6122 C",#008CC6,54,-16,-40
"PANTONE 6123 C",#0087C2,52,-15,-41
"PANTONE 6124 C",#007EBA,49,-13,-41
"PANTONE 6125 C",#0076AC,46,-13,-38
"PANTONE 6126 C",#00609D,38,-5,-42
"PANTONE 6127 C",#4FB2CD,68,-21,-22
"PANTONE 6128 C",#0AA4BE,62,-26,-23
"PANTONE 6129 C",#0095B1,56,-27,-25
"PANTONE 613 C",#BA9B12,65,-1,66
"PANTONE 6130 C",#0087A0,51,-25,-23
"PANTONE 6131 C",#00738C,44,-21,-22
"PANTONE 6132 C",#007B9A,47,-21,-26
"PANTONE 6133 C",#006682,39,-18,-24
"PANTONE 6134 C",#77CBD5,77,-23,-13
"PANTONE 6135 C",#6BBAC3,71,-22,-12
"PANTONE 6136 C",#3CA7AD,63,-28,-12
"PANTONE 6137 C",#259DA0,59,-30,-11
"PANTONE 6138 C",#009195,54,-33,-12
"PANTONE 6139 C",#008689,50,-31,-11
"PANTONE 614 C",#E0D59B,85,-5,30
"PANTONE 6140 C",#007D7F,47,-30,-10
"PANTONE 6141 C",#80CFC7,78,-26,-4
"PANTONE 6142 C",#5FC1AF,72,-33,0
"PANTONE 6143 C",#13AF94,64,-43,3
"PANTONE 6144 C",#00A483,60,-45,7
"PANTONE 6145 C",#009671,55,-43,10
"PANTONE 6146 C",#048B62,51,-42,13
"PANTONE 6147 C",#0D7F55,47,-40,15
"PANTONE 6148 C",#CFE2EE,89,-4,-8
"PANTONE 6149 C",#BAD7DE,84,-8,-7
"PANTONE 615 C",#DCD090,83,-5,33
"PANTONE 6150 C",#9EC9CA,78,-14,-5
"PANTONE 6151 C",#7AB9B8,71,-20,-6
"PANTONE 6152 C",#5DA295,62,-25,0
"PANTONE 6153 C",#448B79,53,-27,3
"PANTONE 6154 C",#24785C,45,-32,8
"PANTONE 6155 C",#6DA697,64,-22,2
"PANTONE 6156 C",#5A9782,58,-25,5
"PANTONE 6157 C",#478B72,53,-28,7
"PANTONE 6158 C",#337F62,48,-31,9
"PANTONE 6159 C",#107157,42,-33,7
"PANTONE 616 C",#D4C787,80,-5,34
"PANTONE 6160 C",#115E41,35,-30,10
"PANTONE 6161 C",#144B38,28,-23,6
"PANTONE 6162 C",#3FAB7C,63,-42,15
"PANTONE 6163 C",#0FA26D,59,-48,18
"PANTONE 6164 C",#0E9F68,58,-48,19
"PANTONE 6165 C",#129457,54,-47,23
"PANTONE 6166 C",#168B4B,51,-46,26
"PANTONE 6167 C",#10753C,43,-41,24
"PANTONE 6168 C",#137743,44,-40,21
"PANTONE 6169 C",#76BB80,70,-34,23
"PANTONE 617 C",#C7B664,74,-5,44
"PANTONE 6170 C",#6BB076,66,-34,23
"PANTONE 6171 C",#5FA564,62,-36,27
"PANTONE 6172 C",#55945B,56,-33,24
"PANTONE 6173 C",#358743,50,-40,29
"PANTONE 6174 C",#317E40,47,-38,27
"PANTONE 6175 C",#377240,43,-31,22
"PANTONE 6176 C",#9BC2A8,75,-18,9
"PANTONE 6177 C",#86AF91,68,-20,11
"PANTONE 6178 C",#72A47D,63,-25,15
"PANTONE 6179 C",#5D956A,57,-28,17
"PANTONE 618 C",#B19E40,65,-4,50
"PANTONE 6180 C",#4C895C,52,-30,18
"PANTONE 6181 C",#448151,49,-31,20
"PANTONE 6182 C",#387444,44,-31,21
"PANTONE 6183 C",#7A8874,55,-9,9
"PANTONE 6184 C",#6F816B,52,-11,10
"PANTONE 6185 C",#64745B,47,-11,12
"PANTONE 6186 C",#56654D,41,-11,12
"PANTONE 6187 C",#505E46,38,-10,12
"PANTONE 6188 C",#45523A,33,-10,12
"PANTONE 6189 C",#2D3D31,24,-9,5
"PANTONE 619 C",#A5902F,60,-3,52
"PANTONE 6190 C",#E8ECBE,92,-9,22
"PANTONE 6191 C",#E9E9A9,91,-10,31
"PANTONE 6192 C",#D9E17C,87,-17,48
"PANTONE 6193 C",#CFD746,83,-20,67
"PANTONE 6194 C",#BECA1A,78,-23,75
"PANTONE 6195 C",#A0B213,69,-24,68
"PANTONE 6196 C",#9DAF13,68,-24,67
"PANTONE 6197 C",#D8DBD6,87,-2,2
"PANTONE 6198 C",#C7CBC2,81,-3,4
"PANTONE 6199 C",#BABDAD,76,-4,8
"PANTONE 620 C",#907B1E,52,-2,50
"PANTONE 6200 C",#B6B7A4,74,-4,10
"PANTONE 6201 C",#A1A289,66,-5,13
"PANTONE 6202 C",#96987B,62,-6,15
"PANTONE 6203 C",#919070,59,-5,17
"PANTONE 6204 C",#A8A393,67,-1,9
"PANTONE 6205 C",#98907A,60,-1,13
"PANTONE 6206 C",#918871,57,-1,14
"PANTONE 6207 C",#898169,54,-1,14
"PANTONE 6208 C",#7A6F55,47,0,16
"PANTONE 6209 C",#6B6349,42,-1,16
"PANTONE 621 C",#CEE1D9,88,-8,2
"PANTONE 6210 C",#605A3E,38,-2,17
"PANTONE 6211 C",#89959C,61,-3,-5
"PANTONE 6212 C",#79868C,55,-3,-5
"PANTONE 6213 C",#70787E,50,-2,-4
"PANTONE 6214 C",#697174,47,-2,-3
"PANTONE 6215 C",#5E676A,43,-3,-3
"PANTONE 6216 C",#505354,35,-1,-1
"PANTONE 6217 C",#464A47,31,-2,1
"PANTONE 6218 C",#919FAE,65,-2,-9
"PANTONE 6219 C",#7E919D,59,-4,-9
"PANTONE 622 C",#B5CBC4,80,-9,1
"PANTONE 6220 C",#74838F,54,-3,-8
"PANTONE 6221 C",#687A84,50,-4,-8
"PANTONE 6222 C",#5E707A,46,-4,-8
"PANTONE 6223 C",#4C5E6A,39,-4,-9
"PANTONE 6224 C",#42555F,35,-5,-8
"PANTONE 623 C",#9ABAAF,73,-13,2
"PANTONE 624 C",#769E90,62,-17,3
"PANTONE 625 C",#4F8073,50,-20,2
"PANTONE 626 C",#255C4D,35,-22,3
"PANTONE 627 C",#11312D,18,-13,-1
"PANTONE 628 C",#B5DEE6,86,-12,-8
"PANTONE 629 C",#95D3DF,81,-17,-12
"PANTONE 630 C",#6FC5D5,75,-22,-16
"PANTONE 631 C",#21B3CA,67,-28,-22
"PANTONE 632 C",#0094B2,56,-26,-26
"PANTONE 633 C",#007597,45,-19,-27
"PANTONE 634 C",#006084,37,-14,-28
"PANTONE 635 C",#9EDBE9,84,-16,-13
"PANTONE 636 C",#81D6E8,81,-21,-17
"PANTONE 637 C",#2FC3E0,73,-28,-25
"PANTONE 638 C",#00B1D9,66,-28,-32
"PANTONE 639 C",#0096C7,57,-21,-36
"PANTONE 640 C",#0084BC,51,-15,-39
"PANTONE 641 C",#0068A0,41,-9,-39
"PANTONE 642 C",#CDDCE7,87,-3,-7
"PANTONE 643 C",#C3D7E5,85,-4,-9
"PANTONE 644 C",#96B7D2,73,-5,-17
"PANTONE 645 C",#73A3C6,65,-7,-23
"PANTONE 646 C",#4E8AB4,55,-7,-28
"PANTONE 647 C",#006293,39,-7,-34
"PANTONE 648 C",#003060,19,2,-34
"PANTONE 649 C",#D7E1E9,89,-2,-5
"PANTONE 650 C",#C9D9E6,86,-3,-8
"PANTONE 651 C",#A2BCD6,75,-3,-16
"PANTONE 652 C",#759DBF,63,-5,-22
"PANTONE 653 C",#116396,40,-4,-34
"PANTONE 654 C",#003C6F,24,0,-36
"PANTONE 655 C",#002755,15,3,-33
"PANTONE 656 C",#DDE7ED,91,-2,-4
"PANTONE 657 C",#C2D7EB,85,-3,-12
"PANTONE 658 C",#ABCAE7,80,-4,-18
"PANTONE 659 C",#6CA5DB,66,-4,-33
"PANTONE 660 C",#0082CB,52,-3,-46
"PANTONE 661 C",#003995,25,18,-58
"PANTONE 662 C",#001E70,14,23,-53
"PANTONE 663 C",#E4E1E8,90,2,-3
"PANTONE 664 C",#DFDBE4,88,3,-4
"PANTONE 665 C",#C5BED2,78,6,-9
"PANTONE 666 C",#9E94B3,63,10,-15
"PANTONE 667 C",#756A91,47,13,-20
"PANTONE 668 C",#5B4D7A,36,16,-23
"PANTONE 669 C",#382B56,21,17,-24
"PANTONE 670 C",#E8D5E2,87,9,-4
"PANTONE 671 C",#E6BDD9,81,19,-8
"PANTONE 672 C",#DEA1CA,73,29,-12
"PANTONE 673 C",#D688B9,66,37,-13
"PANTONE 674 C",#C35999,53,50,-15
"PANTONE 675 C",#AD2A74,41,58,-11
"PANTONE 676 C",#940850,32,56,-2
"PANTONE 677 C",#E3CFDA,85,9,-3
"PANTONE 678 C",#E2C8D8,83,12,-5
"PANTONE 679 C",#DCBED2,80,14,-6
"PANTONE 680 C",#C898B6,68,23,-9
