code,hex,lab_l,lab_a,lab_b
"PANTONE 10383 C",#837D80,53,3,-1
"PANTONE 10384 C",#766D71,47,4,-1
"PANTONE 10385 C",#675F62,41,4,-1
"PANTONE 10386 C",#575152,35,3,0
"PANTONE 10387 C",#4B4244,29,4,0
"PANTONE 10388 C",#8A9296,60,-2,-3
"PANTONE 10389 C",#778085,53,-2,-4
"PANTONE 10390 C",#687176,47,-2,-4
"PANTONE 10391 C",#5A6267,41,-2,-4
"PANTONE 10392 C",#4C5459,35,-2,-4
"PANTONE 10393 C",#40484D,30,-2,-4
"PANTONE 10394 C",#7D7C7A,52,0,1
"PANTONE 10395 C",#6E6D6A,46,0,2
"PANTONE 10396 C",#5F5B59,39,1,2
"PANTONE 10397 C",#514D4A,33,1,2
"PANTONE 10398 C",#433F3D,27,1,2
"PANTONE 10399 C",#353533,22,0,1
"PANTONE 104 C",#B5960E,63,0,65
"PANTONE 10401 C",#D08A25,63,19,60
"PANTONE 10402 C",#C48E4F,63,14,41
"PANTONE 10403 C",#AD8856,59,8,32
"PANTONE 10404 C",#AF916C,62,6,24
"PANTONE 10405 C",#B09774,64,4,22
"PANTONE 10406 C",#B69C7D,66,5,20
"PANTONE 10407 C",#B5A083,67,3,18
"PANTONE 10408 C",#B49279,63,9,18
"PANTONE 10409 C",#A67661,54,16,19
"PANTONE 10410 C",#A06C68,51,20,11
"PANTONE 10411 C",#B78480,60,19,10
"PANTONE 10413 C",#C64B4D,49,49,25
"PANTONE 10414 C",#BD295B,43,60,8
"PANTONE 10415 C",#B34244,44,46,23
"PANTONE 10416 C",#AC2A2E,39,52,30
"PANTONE 10417 C",#B23034,41,52,29
"PANTONE 10418 C",#8D3634,35,37,20
"PANTONE 10419 C",#BD8185,60,24,7
"PANTONE 10420 C",#AE7B8A,57,22,0
"PANTONE 10421 C",#9F4872,43,41,-7
"PANTONE 10422 C",#853566,35,40,-12
"PANTONE 10423 C",#8B4E83,42,34,-19
"PANTONE 10424 C",#6D2969,29,39,-23
"PANTONE 10425 C",#255292,35,8,-40
"PANTONE 10426 C",#274777,30,5,-31
"PANTONE 10427 C",#003F7F,27,9,-41
"PANTONE 10428 C",#3A3C86,29,22,-42
"PANTONE 10429 C",#3A2F70,24,23,-36
"PANTONE 10430 C",#383061,23,17,-28
"PANTONE 10431 C",#7FA1AB,64,-9,-9
"PANTONE 10432 C",#587C8B,50,-9,-12
"PANTONE 10433 C",#007599,45,-19,-28
"PANTONE 10434 C",#006084,37,-15,-28
"PANTONE 10435 C",#6F7883,50,-1,-7
"PANTONE 10436 C",#666E73,46,-2,-4
"PANTONE 10437 C",#4D735E,45,-18,7
"PANTONE 10438 C",#53976A,57,-32,17
"PANTONE 10439 C",#42947D,56,-31,5
"PANTONE 10440 C",#008890,51,-30,-14
"PANTONE 10441 C",#006773,39,-23,-15
"PANTONE 10442 C",#375D62,37,-12,-7
"PANTONE 10443 C",#B7887D,61,16,13
"PANTONE 10444 C",#997A77,54,12,6
"PANTONE 10445 C",#997D7A,55,10,6
"PANTONE 10446 C",#9C8A87,59,6,4
"PANTONE 10447 C",#8B7E7E,54,5,2
"PANTONE 10448 C",#948F91,60,2,0
"PANTONE 10449 C",#B4BAB5,75,-3,2
"PANTONE 10450 C",#ACAEAE,71,-1,0
"PANTONE 10451 C",#737573,49,-1,1
"PANTONE 10452 C",#636667,43,-1,-1
"PANTONE 10453 C",#535B5E,38,-2,-3
"PANTONE 10454 C",#4B4B4B,32,0,0
"PANTONE 105 C",#907B2B,52,-1,45
"PANTONE 106 C",#FFE54D,91,-6,74
"PANTONE 107 C",#FFE12D,90,-4,83
"PANTONE 108 C",#FFDC1C,89,0,86
"PANTONE 109 C",#FFD013,86,5,85
"PANTONE 110 C",#E1AB11,73,8,74
"PANTONE 111 C",#AF890C,59,4,62
"PANTONE 112 C",#A28319,56,2,56
"PANTONE 113 C",#FFDE54,89,-3,69
"PANTONE 114 C",#FFDD45,89,-2,75
"PANTONE 115 C",#FFD92B,88,0,82
"PANTONE 116 C",#FFCC15,85,7,84
"PANTONE 117 C",#D0960A,66,12,69
"PANTONE 118 C",#B28408,58,8,62
"PANTONE 119 C",#8D7426,50,1,45
"PANTONE 120 C",#FFDC68,89,1,61
"PANTONE 1205 C",#FEE090,90,0,43
"PANTONE 121 C",#FFD85C,88,2,65
"PANTONE 1215 C",#FFD776,88,4,53
"PANTONE 122 C",#FFD045,86,6,72
"PANTONE 1225 C",#FFC748,84,11,69
"PANTONE 123 C",#FFC431,83,11,76
"PANTONE 1235 C",#FFB824,80,17,77
"PANTONE 124 C",#F0A80D,74,16,76
"PANTONE 1245 C",#CB901A,64,13,64
"PANTONE 125 C",#BA8409,59,12,63
